"Course_number","Course_name","Permanent_course_number","Credits","Teacher"
"1122_000000","測試課程甲(一)","NYCU00000","0.00","測試老師一、測試老師二"
"1122_030001","高等機率論(博)","IADI00244","3.00","銀慶剛"
"1122_030002","複變分析","IADI00247","3.00","李大中"
"1122_030003","代數拓樸","IADI00248","3.00","廖軒毅"
"1122_030004","金融數學二","IADI00246","3.00","東聖甯"
"1122_030005","微分幾何二","IADI00245","3.00","吳思曄"
"1122_110002","心靈成長(二)","MDMD10034","1.00","劉文勝"
"1122_110003","心靈成長(二)","MDMD10034","1.00","楊令瑀"
"1122_110004","心靈成長(二)","MDMD10034","1.00","黃志賢"
"1122_110005","心靈成長(二)","MDMD10034","1.00","熊偉"
"1122_110006","心靈成長(二)","MDMD10034","1.00","吳芬芬"
"1122_110007","心靈成長(二)","MDMD10034","1.00","曾炳輝"
"1122_110008","心靈成長(二)","MDMD10034","1.00","范佩貞"
"1122_110009","心靈成長(二)","MDMD10034","1.00","黃駿豐"
"1122_110010","心靈成長(二)","MDMD10034","1.00","鄭涵方"
"1122_110011","心靈成長(二)","MDMD10034","1.00","張鴻猷"
"1122_110012","心靈成長(二)","MDMD10034","1.00","蔡明翰"
"1122_110013","心靈成長(二)","MDMD10034","1.00","陳信彰"
"1122_110014","心靈成長(二)","MDMD10034","1.00","嵇達德"
"1122_110015","心靈成長(二)","MDMD10034","1.00","林秉熙"
"1122_110016","心靈成長(二)","MDMD10034","1.00","謝瀛洲"
"1122_110017","心靈成長(四)","MDMD10035","1.00","葉添順"
"1122_110018","心靈成長(四)","MDMD10035","1.00","紀凱獻"
"1122_110019","心靈成長(四)","MDMD10035","1.00","王先逸"
"1122_110020","心靈成長(四)","MDMD10035","1.00","廖皎君"
"1122_110021","心靈成長(四)","MDMD10035","1.00","陳威儀"
"1122_110022","心靈成長(四)","MDMD10035","1.00","王琬菁"
"1122_110023","心靈成長(四)","MDMD10035","1.00","陳瀅州"
"1122_110024","心靈成長(四)","MDMD10035","1.00","簡千栩"
"1122_110025","心靈成長(四)","MDMD10035","1.00","黃宣穎"
"1122_110026","心靈成長(四)","MDMD10035","1.00","蒲正筠"
"1122_110027","醫師科學家研究概論(下)","MDMD10117","1.00","兵岳忻"
"1122_110028","醫師科學家專題研究(一)","MDMD10110","3.00","兵岳忻"
"1122_110029","醫師科學家專題研究(二)","MDMD10113","3.00","兵岳忻"
"1122_110030","醫師科學家專題研究(三)","MDMD10111","3.00","兵岳忻"
"1122_110031","醫師科學家專題研究(五)","MDMD10114","3.00","兵岳忻"
"1122_110032","醫師科學家專題研究(四)","MDMD10115","3.00","兵岳忻"
"1122_110033","醫師科學家專題研究(六)","MDMD10112","3.00","兵岳忻"
"1122_110034","心靈成長(二)","MDMD10034","1.00","張佩靖"
"1122_110035","心靈成長(四)","MDMD10035","1.00","季康揚"
"1122_110036","生物學(下)","MDMD10068","2.00","羅清維、黃雪莉、陳燕彰、可文亞"
"1122_110037","生物學實驗","MDMD10070","2.00","袁維謙、陳俊銘、羅清維、林崇智、金翠庭、李敏嘉、陳妤、吳如蕙"
"1122_110038","生物學實驗","MDMD10070","2.00","袁維謙、陳俊銘、羅清維、林崇智、金翠庭、李敏嘉、陳妤、吳如蕙"
"1122_110039","大體解剖學","MDMD10012","1.00","鄭瓊娟、凌憬峰、李學德、蔡佩君、郭曉縈、陳瑞裕、林宏鑫"
"1122_110040","大體解剖學實驗","MDMD10014","0.20","鄭瓊娟、傅毓秀、李學德、蔡佩君、郭曉縈"
"1122_110041","組織學","MDMD10085","1.00","鄭瓊娟、傅毓秀、李學德、郭曉縈"
"1122_110042","組織學實驗","MDMD10086","0.50","鄭瓊娟、傅毓秀、李學德、郭曉縈"
"1122_110043","神經解剖學","MDMD10080","2.00","鄭瓊娟、傅毓秀、王先逸、郭曉縈、侯珮珊"
"1122_110044","神經解剖學實驗","MDMD10081","0.50","鄭瓊娟、王先逸、郭曉縈、侯珮珊"
"1122_110045","生理學","MDMD10060","3.40","吳鈺琳、黃娟娟、阮琪昌、李怡萱、林惠菁、張原翊、洪成志、楊凱鈞、蔡明村、董萃英、舒宜芳、程子珩、曾偉誠"
"1122_110046","生理學實驗","MDMD10062","0.40","吳鈺琳、林惠菁"
"1122_110047","醫學遺傳學","MDMD10127","1.60","陳燕彰、李光申、楊智宇、鍾明怡"
"1122_110048","胚胎學","MDMD10090","1.00","鄭瓊娟、王先逸、侯珮珊"
"1122_110049","社區醫學實習","MDMD00006","1.00","陳育群"
"1122_110050","神經症狀學","MDMD10079","1.00","陳世彬、李宜中、李怡慧、尤香玉、王嚴鋒、賴冠霖、蔣漢琳"
