Course_number,Time1,Place
1122_000000,U67,ED117[GF]
1122_030001,Tn,NULL
1122_030002,T56,NULL
1122_030003,T567,NULL
1122_030004,M34,NULL
1122_030005,W567,NULL
1122_110002,W34,YT202[YM]
1122_110003,W34,YT202[YM]
1122_110004,W34,YT202[YM]
1122_110005,W34,YT202[YM]
1122_110006,W34,YT206[YM]
1122_110007,W34,YT206[YM]
1122_110008,W34,YT206[YM]
1122_110009,W34,YT206[YM]
1122_110010,W34,YT206[YM]
1122_110011,W34,YT206[YM]
1122_110012,W34,YT202[YM]
1122_110013,W34,YT202[YM]
1122_110014,W34,YT206[YM]
1122_110015,W34,YT206[YM]
1122_110016,W34,YT206[YM]
1122_110017,W34,YX501[YM]
1122_110018,W34,YX501[YM]
1122_110019,W34,YX501[YM]
1122_110020,W34,YT104[YM]
1122_110021,W34,YT104[YM]
1122_110022,W34,YT104[YM]
1122_110023,W34,YT104[YM]
1122_110024,W34,YT104[YM]
1122_110025,W34,YT104[YM]
1122_110026,W34,YX501[YM]
1122_110027,T8,YM201[YM]
1122_110028,Sa,NULL
1122_110029,Sa,NULL
1122_110030,Sa,NULL
1122_110031,Sa,NULL
1122_110032,Sa,NULL
1122_110033,Sa,NULL
1122_110034,W34,NULL
1122_110035,W34,NULL
1122_110036,M34,YX406[YM]
1122_110037,M5678,YED109[YM]
1122_110038,W5678,YED109[YM]
1122_110039,M1234,YT001[YM]
1122_110040,M1234,YEC109[YM]
1122_110041,M1234,YT001[YM]
1122_110042,M1234,YT001[YM]
1122_110043,M1234,YT001[YM]
1122_110044,M1234,YT001[YM]
1122_110045,M1234,YT001[YM]
1122_110046,T5678,YED214[YM]
1122_110047,M1234,YT001[YM]
1122_110048,M1234,YT001[YM]
1122_110049,R5678,NULL
1122_110050,F56,YM225[YM]
1122_110051,S34,ED302[GF]
1122_110051,S34,YL405[YM]
1122_110052,M78,ED305[GF]
1122_110052,M78,YL404[YM]
1122_110053,M34,ED305[GF]
1122_110053,M34,YM303[YM]
1122_110057,Sa,NULL
1122_110058,Sb,NULL
1122_110069,Rab,NULL
1122_110070,Sd,NULL
1122_110202,R789,NULL
1122_110203,M12345678,YT002[YM]
1122_110204,M12345678,YT002[YM]
1122_110205,M12345678,YT002[YM]
1122_110206,M12345678,YT002[YM]
1122_110207,M12345678,YT002[YM]
1122_110208,M12345678,YT002[YM]
1122_110209,M12345678,YT002[YM]
1122_110210,M12345678,YT002[YM]
1122_110211,M12345678,YT002[YM]
1122_110212,M12345678,YT002[YM]
1122_110213,M12345678,YT002[YM]
1122_110214,Sb,YT002[YM]
1122_110215,U1,NULL
1122_110216,Ryz,NULL
1122_110217,W78,NULL
1122_110218,S34,NULL
1122_110219,R5678,YX216[YM]
1122_110220,Sc,YT205[YM]
1122_110221,W78,YT303[YM]
1122_111500,T34,YD105[YM]
1122_111501,W567,YD210[YM]
1122_111502,M78,YD214[YM]
1122_111503,W34,YD214[YM]
1122_111504,W34,YD214[YM]
1122_111505,W34,YD214[YM]
1122_111506,W34,YD214[YM]
1122_111507,W34,YD214[YM]
1122_111508,F56789,YD214[YM]
1122_111509,W34,YD210[YM]
1122_111510,W34,YD210[YM]
1122_111511,W34,YD210[YM]
1122_111512,W34,YD210[YM]
1122_111513,W34,YD210[YM]
1122_111514,M34,YD320[YM]
1122_111515,W56,YD320[YM]
1122_111516,T1234,YD210[YM]
1122_111517,T1234,YD210[YM]
1122_111518,W34,YD320[YM]
1122_111519,W1,YD320[YM]
1122_111520,M56,YD214[YM]
1122_111521,M12,YD210[YM]
1122_111522,R123456789,YD202[YM]
1122_111523,T1234,YD210[YM]
1122_111524,T1234,YD210[YM]
1122_111525,F9a,YD320[YM]
1122_111526,F9a,YD320[YM]
1122_111527,F9a,YD320[YM]
1122_111528,F9a,YD320[YM]
1122_111529,F9a,YD320[YM]
1122_111530,T89,YD320[YM]
1122_111531,T34,YD214[YM]
1122_111532,R34,YD105[YM]
1122_111533,R567,YD214[YM]
1122_111534,M12,YD105[YM]
1122_111535,M345678,YD210[YM]
1122_111536,W12,YD210[YM]
1122_111537,W345678,YD202[YM]
1122_111538,W9a,YD105[YM]
1122_111539,W9a,YD105[YM]
1122_111540,W9a,YD105[YM]
1122_111541,W9a,YD105[YM]
1122_111542,W9a,YD105[YM]
1122_111543,W56,YD214[YM]
1122_111544,R12,YD214[YM]
1122_111545,R34,YD214[YM]
1122_111546,R56,YD105[YM]
1122_111547,T34,YD320[YM]
1122_111548,T567,YD214[YM]
1122_111549,M9abc,YD320[YM]
1122_111550,M34,YD105[YM]
1122_111551,T9a,YD105[YM]
1122_111552,T9a,YD105[YM]
1122_111553,T9a,YD105[YM]
1122_111554,T9a,YD105[YM]
1122_111555,T9a,YD105[YM]
1122_111568,F234,NULL
1122_111569,F56789a,NULL
1122_111570,M2,YD320[YM]
1122_111571,F34,AB102[GF]
1122_111571,F34,YK208[YM]
1122_111572,M2,YD214[YM]
1122_111800,R56,YN418[YM]
1122_111801,W78,A205[GF]
1122_111802,M1234n5678,YN414[YM]
1122_111803,W34,YN603[YM]
1122_111804,M12345678,YN416[YM]
1122_111805,M1234n5678,YN418[YM]
1122_111806,M12345678,NULL
1122_111807,W12345678,YN416[YM]
1122_111808,W12345678,NULL
1122_111809,T9a,YN418[YM]
1122_111810,M12345678,NULL
1122_111811,F234,EE129[GF]
1122_111811,F234,YN418[YM]
1122_111812,M12345678,NULL
1122_111813,R9a,YN418[YM]
1122_111814,W56,YN321[YM]
1122_111815,F34,YN416[YM]
1122_111816,Mab,YN416[YM]
1122_111817,F5678,CS100[GF]
1122_111817,F5678,YL404[YM]
1122_111900,W34,SC109[GF]
1122_111901,T34,YT302[YM]
1122_111902,T234,SC157[GF]
1122_111903,W56,EB107[GF]
1122_111904,W56,EB107[GF]
1122_111905,M1234n5678,NULL
1122_111906,M1234n5678,NULL
1122_111907,Mcd,NULL
1122_111908,M1234n5678,NULL
1122_111909,Fbc,NULL
1122_111910,Fb,NULL
1122_111911,Fb,NULL
1122_111912,Fc,NULL
1122_111913,Rc,NULL
1122_111914,T5678,YED309[YM]
1122_111915,T5678,YED309[YM]
1122_111916,W34,YR101[YM]
